id,prk_place_nm,prk_style,prk_type,location,address,prk_charge_info,rating,five_days_system,open_days,weekday_open_hhmm,weekday_colse_hhmm,sat_oper_open_hhmm,sat_close_hhmm,holiday_open_hhmm,holiday_close_hhmm,fee,basic_time,basic_fee,additional_time,additional_fee,daily_ticket_applicable_time,daily_ticket_fee,monthly_pass_fee,payment_method,special_notes,management_agency,phone_number,data_standard_date
1,연미 공영주차장,공영,노외,부산광역시 연제구 연수로 221,부산광역시 연제구 연산동 2122-12,24,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,200,200,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
2,한양아파트 앞 공영주차장,공영,노상,-,부산광역시 연제구 연산동 420-4,70,4,미시행,평일+토요일,0:00,20:00,8:00,20:00,0:00,0:00,유료,10,100,100,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
3,시티타워 뒤 공영주차장,공영,노상,부산광역시 연제구 거제천로182번길 3,부산광역시 연제구 연산동 1123-1,11,3,미시행,평일+토요일,0:00,20:00,8:00,20:00,0:00,0:00,유료,10,200,200,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
4,태경선샤인아파트 앞 공영주차장,공영,노상,-,부산광역시 연제구 거제동 120-6,24,4,미시행,평일+토요일,0:00,20:00,8:00,20:00,0:00,0:00,유료,10,100,100,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
5,연제문화체육공원 공영주차장,공영,노외,부산광역시 연제구 고분로68번길 25,부산광역시 연제구 연산동 952-18,17,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,100,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
6,해맞이 공영주차장,공영,노외,-,부산광역시 연제구 거제동 625-11,14,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,200,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
7,한빛 공영주차장,공영,노외,-,부산광역시 연제구 연산동 2273,21,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,100,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
8,학장천공영주차장,공영,노외,부산광역시 사상구 학장로 256,부산광역시 사상구 주례동 1287,90,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,0,2400,52000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
9,덕포백양공원공영주차장,공영,노외,부산광역시 사상구 백양대로762번길 17,부산광역시 사상구 덕포동 776-1,50,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,0,2400,52000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
10,양지2공원주변,공영,노외,부산광역시 사상구 양지로 18,부산광역시 사상구 주례동 314,74,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,0,2400,52000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
11,고동바위공영주차장,공영,노외,부산광역시 사상구 백양대로907번다길 6,부산광역시 사상구 모라동 1359,41,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,0,2400,52000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
12,모라중학교 지하(노외),공영,노외,부산광역시 사상구 백양대로 936,부산광역시 사상구 모라동 1348,136,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,0,2400,90000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
13,감전역 역세권 공영주차장,공영,노외,부산광역시 사상구 백양대로 936,부산광역시 사상구 모라동 1348,215,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,0,2400,90000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
