prk_place_nm,address,monthly_pass_fee,prk_style
연미 공영주차장,부산광역시 연제구 연산동 2122-12,0,공영
한양아파트 앞 공영주차장,부산광역시 연제구 연산동 420-4,0,공영
시티타워 뒤 공영주차장,부산광역시 연제구 연산동 1123-1,0,공영
태경선샤인아파트 앞 공영주차장,부산광역시 연제구 거제동 120-6,0,공영
연제문화체육공원 공영주차장,부산광역시 연제구 연산동 952-18,0,공영
해맞이 공영주차장,부산광역시 연제구 거제동 625-11,0,공영
한빛 공영주차장,부산광역시 연제구 연산동 2273,0,공영
학장천공영주차장,부산광역시 사상구 주례동 1287,52000,공영
덕포백양공원공영주차장,부산광역시 사상구 덕포동 776-1,52000,공영
양지2공원주변,부산광역시 사상구 주례동 314,52000,공영
고동바위공영주차장,부산광역시 사상구 모라동 1359,52000,공영
모라중학교 지하(노외),부산광역시 사상구 모라동 1348,90000,공영
감전역 역세권 공영주차장,부산광역시 사상구 모라동 1348,90000,공영
공영주차장(감전중고차시장),부산광역시 사상구 감전동 156-1,30000,공영
감전시장주변,부산광역시 사상구 감전동 132-7,30000,공영
파라곤호텔주변,부산광역시 사상구 괘법동 565-6,30000,공영
학장지구대주변,부산광역시 사상구 학장동 242-1,30000,공영
한국강관주변,부산광역시 사상구 감전동 949-7,30000,공영
위생처리장주변,부산광역시 사상구 감전동 509-11,30000,공영
동영공업주변,부산광역시 사상구 학장동 748-1,30000,공영
공영주차장(주례역),부산광역시 사상구 주례동 506,90000,공영
공영주차장(사상초등학교),부산광역시 사상구 덕포동 752-3,30000,공영
공영주차장(사상전화국),부산광역시 사상구 학장동 281-9,30000,공영
해표사료주변,부산광역시 사상구 감전동 127-1,30000,공영
공영주차장(신일금속),부산광역시 사상구 학장동 723-1,30000,공영
모라1동행정복지센터주변,부산광역시 사상구 모라동 1347-4,30000,공영
삼락재첩거리주변,부산광역시 사상구 삼락동 70-21,30000,공영
엄궁외식1번가주변,부산광역시 사상구 엄궁동 652-7,30000,공영
학장동행정복지센터주변,부산광역시 사상구 학장동 386-1,30000,공영
동서고가도로밑주변,부산광역시 사상구 주례동 394,30000,공영
동신운수옆복개공영주차장,부산광역시 사상구 주례동 1160-53,30000,공영
주례오거리공영주차장,부산광역시 사상구 주례동 437-1,30000,공영
황금로 공영주차장,부산광역시 연제구 연산동 1811-561,0,공영
연일 공영주차장,부산광역시 연제구 연산동 768-5,0,공영
과정 공영주차장,부산광역시 연제구 연산동 1062-1,0,공영
연산3동 금련 공영주차장,부산광역시 연제구 연산동 420-4,0,공영
구)대연3동주민센터 주변,부산광역시 남구 대연동 393-27번지,40000,공영
대연천 구거복개지,부산광역시 남구 대연동 1635-55번지,40000,공영
수영로325번길(번영로 아래),부산광역시 남구 대연동 217-6번지,40000,공영
대흥택시 주변,부산광역시 남구 대연동 1018번지,40000,공영
수영로266번길(글로리빌라 앞),부산광역시 남구 대연동 548-6번지,40000,공영
부산공고담장주변,부산광역시 남구 대연동 1195-160번지,40000,공영
문화회관진입로,부산광역시 남구 대연동 848-4번지,40000,공영
대연극동아파트 옆,부산광역시 남구 대연동 282-5번지,40000,공영
사슴빌라 주변,부산광역시 남구 대연동 1487-15번지,40000,공영
유엔평화로 9번길(항도빌라 주변),부산광역시 남구 대연동 1731-1번지,40000,공영
제1주거지전용주차장,부산광역시 남구 대연동 1728-3번지,40000,공영
솔밭주거지전용주차장,부산광역시 남구 대연동 1002-1번지,40000,공영
대연1동 공영주차장,부산광역시 남구 대연동 1750-7번지,40000,공영
양지아파트주변,부산광역시 남구 감만동 44-149번지,40000,공영
감만2동 제1공영주차장,부산광역시 남구 감만동 3-47번지,40000,공영
감만2동 제2공영주차장,부산광역시 남구 감만동 3-598번지,40000,공영
새마을금고 주변,부산광역시 남구 우암동 189번지,40000,공영
당산로 공영주차장,부산광역시 남구 우암동 93-11번지,40000,공영
우암양달로 주거지주차장,부산광역시 남구 우암동 181-498번지,40000,공영
뉴서울아파트주변,부산광역시 남구 우암동 53-5번지,40000,공영
문현광원맨션 주변,부산광역시 남구 문현동 557-15번지,40000,공영
성암사 주변,부산광역시 남구 문현동 71-6번지,40000,공영
효성택시 진입로,부산광역시 남구 문현동 86-7번지,40000,공영
부림빌라 뒤,부산광역시 남구 문현동 31-85번지,40000,공영
감전중천주변,부산광역시 사상구 감전동 150-1,30000,공영
유진맨션건너편,부산광역시 사상구 모라동 651-39,52000,공영
엄궁초등학교지하주차장,부산광역시 사상구 엄궁동 47,52000,공영
중앙고교담장주변,부산광역시 남구 대연동 1779번지,40000,공영
부산세무고등학교주변,부산광역시 남구 대연동 1801번지,40000,공영
용호초등학교뒤 공영주차장,부산광역시 남구 용호동 66-3번지,40000,공영
용호중앙교회앞 공영주차장,부산광역시 남구 용호동 409-25번지,40000,공영
백운포체육공원앞공영주차장,부산광역시 남구 용호동 895-5번지,51360,공영
이기대제1|제2공영주차장,부산광역시 남구 용호동 15-1번지,160000,공영
오륙도수변공원 공영주차장,부산광역시 남구 용호동 산 196-4번지,51360,공영
진남로232번길 공영주차장,부산광역시 남구 문현동 53-11번지,40000,공영
문현1동 제2공영주차장,부산광역시 남구 문현동 54-59번지,40000,공영
문현1동 제3공영주차장,부산광역시 남구 문현동 125-7번지,40000,공영
성동중학교 담장 주변,부산광역시 남구 문현동 791-1번지,40000,공영
E-마트 담벽 주변,부산광역시 남구 문현동 751번지,40000,공영
하이빌 주변,부산광역시 남구 문현동 603번지,40000,공영
신풍상사 주변,부산광역시 남구 문현동 738-1번지,40000,공영
문현2동 주민센터 윗편,부산광역시 남구 문현동 552-8번지,40000,공영
수영로69번길 공영주차장,부산광역시 남구 문현동 262-22번지,40000,공영
수영로39번길(번영로 아래),부산광역시 남구 문현동 231-8번지,40000,공영
구거복개지,부산광역시 남구 문현동 837-1번지,40000,공영
현대오일뱅크주유소 옆,부산광역시 남구 문현동 876-8번지,40000,공영
청호탕 주변,부산광역시 남구 문현동 655-149번지,40000,공영
대송주택 주변,부산광역시 남구 문현동 270-41번지,40000,공영
한일오피스텔주변,부산광역시 남구 문현동 838번지,40000,공영
스카이워크공영주차장,부산광역시 남구 용호동 950번지,160000,공영
제2주거지전용주차장,부산광역시 남구 대연동 1735-1번지,40000,공영
남천중 진입로,부산광역시 남구 대연동 455-13번지,40000,공영
