prk_place_nm,address
연미 공영주차장,부산광역시 연제구 연산동 2122-12
한양아파트 앞 공영주차장,부산광역시 연제구 연산동 420-4
시티타워 뒤 공영주차장,부산광역시 연제구 연산동 1123-1
태경선샤인아파트 앞 공영주차장,부산광역시 연제구 거제동 120-6
연제문화체육공원 공영주차장,부산광역시 연제구 연산동 952-18
해맞이 공영주차장,부산광역시 연제구 거제동 625-11
한빛 공영주차장,부산광역시 연제구 연산동 2273
학장천공영주차장,부산광역시 사상구 주례동 1287
덕포백양공원공영주차장,부산광역시 사상구 덕포동 776-1
양지2공원주변,부산광역시 사상구 주례동 314
고동바위공영주차장,부산광역시 사상구 모라동 1359
모라중학교 지하(노외),부산광역시 사상구 모라동 1348
감전역 역세권 공영주차장,부산광역시 사상구 모라동 1348
공영주차장(감전중고차시장),부산광역시 사상구 감전동 156-1
감전시장주변,부산광역시 사상구 감전동 132-7
파라곤호텔주변,부산광역시 사상구 괘법동 565-6
학장지구대주변,부산광역시 사상구 학장동 242-1
한국강관주변,부산광역시 사상구 감전동 949-7
위생처리장주변,부산광역시 사상구 감전동 509-11
동영공업주변,부산광역시 사상구 학장동 748-1
공영주차장(주례역),부산광역시 사상구 주례동 506
공영주차장(사상초등학교),부산광역시 사상구 덕포동 752-3
공영주차장(사상전화국),부산광역시 사상구 학장동 281-9
해표사료주변,부산광역시 사상구 감전동 127-1
공영주차장(신일금속),부산광역시 사상구 학장동 723-1
모라1동행정복지센터주변,부산광역시 사상구 모라동 1347-4
삼락재첩거리주변,부산광역시 사상구 삼락동 70-21
엄궁외식1번가주변,부산광역시 사상구 엄궁동 652-7
학장동행정복지센터주변,부산광역시 사상구 학장동 386-1
동서고가도로밑주변,부산광역시 사상구 주례동 394
동신운수옆복개공영주차장,부산광역시 사상구 주례동 1160-53
주례오거리공영주차장,부산광역시 사상구 주례동 437-1
황금로 공영주차장,부산광역시 연제구 연산동 1811-561
연일 공영주차장,부산광역시 연제구 연산동 768-5
과정 공영주차장,부산광역시 연제구 연산동 1062-1
연산3동 금련 공영주차장,부산광역시 연제구 연산동 420-4
구)대연3동주민센터 주변,부산광역시 남구 대연동 393-27번지
대연천 구거복개지,부산광역시 남구 대연동 1635-55번지
수영로325번길(번영로 아래),부산광역시 남구 대연동 217-6번지
대흥택시 주변,부산광역시 남구 대연동 1018번지
수영로266번길(글로리빌라 앞),부산광역시 남구 대연동 548-6번지
부산공고담장주변,부산광역시 남구 대연동 1195-160번지
문화회관진입로,부산광역시 남구 대연동 848-4번지
대연극동아파트 옆,부산광역시 남구 대연동 282-5번지
사슴빌라 주변,부산광역시 남구 대연동 1487-15번지
유엔평화로 9번길(항도빌라 주변),부산광역시 남구 대연동 1731-1번지
제1주거지전용주차장,부산광역시 남구 대연동 1728-3번지
솔밭주거지전용주차장,부산광역시 남구 대연동 1002-1번지
대연1동 공영주차장,부산광역시 남구 대연동 1750-7번지
양지아파트주변,부산광역시 남구 감만동 44-149번지
감만2동 제1공영주차장,부산광역시 남구 감만동 3-47번지
감만2동 제2공영주차장,부산광역시 남구 감만동 3-598번지
새마을금고 주변,부산광역시 남구 우암동 189번지
당산로 공영주차장,부산광역시 남구 우암동 93-11번지
우암양달로 주거지주차장,부산광역시 남구 우암동 181-498번지
뉴서울아파트주변,부산광역시 남구 우암동 53-5번지
문현광원맨션 주변,부산광역시 남구 문현동 557-15번지
성암사 주변,부산광역시 남구 문현동 71-6번지
효성택시 진입로,부산광역시 남구 문현동 86-7번지
부림빌라 뒤,부산광역시 남구 문현동 31-85번지
감전중천주변,부산광역시 사상구 감전동 150-1
유진맨션건너편,부산광역시 사상구 모라동 651-39
엄궁초등학교지하주차장,부산광역시 사상구 엄궁동 47
중앙고교담장주변,부산광역시 남구 대연동 1779번지
부산세무고등학교주변,부산광역시 남구 대연동 1801번지
용호초등학교뒤 공영주차장,부산광역시 남구 용호동 66-3번지
용호중앙교회앞 공영주차장,부산광역시 남구 용호동 409-25번지
백운포체육공원앞공영주차장,부산광역시 남구 용호동 895-5번지
이기대제1|제2공영주차장,부산광역시 남구 용호동 15-1번지
오륙도수변공원 공영주차장,부산광역시 남구 용호동 산 196-4번지
진남로232번길 공영주차장,부산광역시 남구 문현동 53-11번지
문현1동 제2공영주차장,부산광역시 남구 문현동 54-59번지
문현1동 제3공영주차장,부산광역시 남구 문현동 125-7번지
성동중학교 담장 주변,부산광역시 남구 문현동 791-1번지
E-마트 담벽 주변,부산광역시 남구 문현동 751번지
하이빌 주변,부산광역시 남구 문현동 603번지
신풍상사 주변,부산광역시 남구 문현동 738-1번지
문현2동 주민센터 윗편,부산광역시 남구 문현동 552-8번지
수영로69번길 공영주차장,부산광역시 남구 문현동 262-22번지
수영로39번길(번영로 아래),부산광역시 남구 문현동 231-8번지
구거복개지,부산광역시 남구 문현동 837-1번지
현대오일뱅크주유소 옆,부산광역시 남구 문현동 876-8번지
청호탕 주변,부산광역시 남구 문현동 655-149번지
대송주택 주변,부산광역시 남구 문현동 270-41번지
한일오피스텔주변,부산광역시 남구 문현동 838번지
스카이워크공영주차장,부산광역시 남구 용호동 950번지
제2주거지전용주차장,부산광역시 남구 대연동 1735-1번지
남천중 진입로,부산광역시 남구 대연동 455-13번지
대연성당 주변,부산광역시 남구 대연동 67-33번지
동국제강 진입로,부산광역시 남구 감만동 602번지
119안전센터 옆,부산광역시 남구 감만동 592-24번지
감만동 홍곡로 공영주차장,부산광역시 남구 감만동 187-9번지
국제아파트주변,부산광역시 남구 감만동 27-10번지
하얏트아파트 주변,부산광역시 남구 감만동 33-401번지
용호중학교 옆 공영주차장,부산광역시 남구 용호동 514-4번지
동명로118번길 공영주차장,부산광역시 남구 용호동 485-16번지
용호로232번길 공영주차장,부산광역시 남구 용호동 536-1번지
용호4동 주민센터 주변,부산광역시 남구 용호동 534-18번지
해군아파트아래 담장길,부산광역시 남구 용호동 534-30번지
용호로178번길 공영주차장,부산광역시 남구 용호동 485-2번지
솔밭공원 윗길,부산광역시 남구 용호동 409-22번지
솔밭공원 아랫길,부산광역시 남구 용호동 356-1번지
용호성당 주변,부산광역시 남구 용호동 487-9번지
삼성시장 배수펌프장 상부,부산광역시 남구 용호동 265-4번지
용호1동 제4공영주차장,부산광역시 남구 용호동 221-1번지
백세교,부산광역시 남구 용호동 869번지
다보네가구 주차장(부설개방),부산광역시 남구 용호동 566-3번지
동산그린아파트 앞,부산광역시 남구 용호동 527-11번지
용호종합복지관주변,부산광역시 남구 용호동 85-2번지
분포맨션주변,부산광역시 남구 용호동 368-3번지
동명로157번길 공영주차장,부산광역시 남구 용호동 373-15번지
동보빌리지 주변,부산광역시 남구 대연동 1479-22번지
못골성당 앞,부산광역시 남구 대연동 1535-2번지
충무동제7공영,부산광역시 서구 충무동1가 43-1
암남동제5공영,부산광역시 서구 암남동 123-50
서구 원양로제1공영,부산광역시 서구 암남동 633-2
충무동새벽시장공영,부산광역시 서구 남부민동 685-1
송도공영,부산광역시 서구 암남동 579
망양공영,부산광역시 서구 동대신동1가 11-15
북산리공영,부산광역시 서구 동대신동2가 79-39
고운들공영,부산광역시 서구 서대신동2가 509-233
동대1제5공영,부산광역시 서구 동대신동1가 340
동대2제1공영,부산광역시 서구 동대신동2가 452-4
부민동제4공영,부산광역시 서구 부용동1가 66-1
아미제2공영,부산광역시 서구 아미동1가 1
충무동제2공영,부산광역시 서구 토성동3가 32
충무동제5공영,부산광역시 서구 토성동1가 8-1
남부민1동제1공영,부산광역시 서구 남부민동 695-2
남부민2동제2공영,부산광역시 서구 남부민동 692-2
남부민2동제3공영,부산광역시 서구 남부민동 705
암남동제1공영,부산광역시 서구 암남동 135-2
,
한신문화타운맞은편,부산광역시 남구 용당동 565-26번지
유엔평화로 153번길,부산광역시 남구 용당동 552-16번지
해돋이공영,부산광역시 서구 남부민동 50-13
부민동공영,부산광역시 서구 부민동3가 56
부민동제2공영,부산광역시 서구 부민동3가 36-1
남부민2동공영,부산광역시 서구 남부민동 595-2
충무동골목시장공영,부산광역시 서구 충무동1가 37-1
암남공원공영,부산광역시 서구 암남동 620-4
천해로공영,부산광역시 서구 남부민동 434-227
서구 원양로제2공영,부산광역시 서구 암남동 633-2
시약로공영,부산광역시 서구 서대신동3가 92
암남동제2공영,부산광역시 서구 암남동 135-8
암남동제7공영,부산광역시 서구 암남동 537-4
암남동제8공영,부산광역시 서구 암남동 614-5
암남동제10공영,부산광역시 서구 암남동 95-13
남부민2동제1공영,부산광역시 서구 남부민동 705
동대1제4공영,부산광역시 서구 동대신동1가 9-48
서대4제1공영,부산광역시 서구 서대신동3가 산2-6
서대4제2공영,부산광역시 서구 서대신동3가 147-45
서대4제3공영,부산광역시 서구 서대신동3가 7-5
초장동제1공영,부산광역시 서구 초장동 128-28
초장동제2공영,부산광역시 서구 초장동 89-87
등대로공영,부산광역시 서구 암남동 123-37
오반장주차장,부산광역시 해운대구 우동542-11
온천주차장,부산광역시 해운대구 중동1226-3|14|15|1370-2|3|4
왕자주차장,부산광역시 해운대구 반여동1405-37
상월우동주차장,부산광역시 해운대구 우동437-3|439-1|440-3
우양주차장,부산광역시 해운대구 반송동683-18
우일주차장,부산광역시 해운대구 우동442-1
원도주차장,부산광역시 해운대구 송정동306-10
유로주차장,부산광역시 해운대구 우동229-4
남천1동 공영주차장,부산광역시 수영구 남천동 554| 568 일원
민락매립지 공영주차장,부산광역시 수영구 민락동 113-46| 50
